index,emoji,name,group,sub_group,codepoints
3297,👗,dress,Objects,clothing,1F457
3298,👘,kimono,Objects,clothing,1F458
3299,🥻,sari,Objects,clothing,1F97B
3300,🩱,one-piece swimsuit,Objects,clothing,1FA71
3301,🩲,briefs,Objects,clothing,1FA72
3302,🩳,shorts,Objects,clothing,1FA73
3303,👙,bikini,Objects,clothing,1F459
3304,👚,woman’s clothes,Objects,clothing,1F45A
3305,👛,purse,Objects,clothing,1F45B
3306,👜,handbag,Objects,clothing,1F45C
3307,👝,clutch bag,Objects,clothing,1F45D
3308,🛍️,shopping bags,Objects,clothing,1F6CD FE0F
3309,🛍,shopping bags,Objects,clothing,1F6CD
3310,🎒,backpack,Objects,clothing,1F392
3311,🩴,thong sandal,Objects,clothing,1FA74
3312,👞,man’s shoe,Objects,clothing,1F45E
3313,👟,running shoe,Objects,clothing,1F45F
3314,🥾,hiking boot,Objects,clothing,1F97E
3315,🥿,flat shoe,Objects,clothing,1F97F
3316,👠,high-heeled shoe,Objects,clothing,1F460
3317,👡,woman’s sandal,Objects,clothing,1F461
3318,🩰,ballet shoes,Objects,clothing,1FA70
3319,👢,woman’s boot,Objects,clothing,1F462
3320,👑,crown,Objects,clothing,1F451
3321,👒,woman’s hat,Objects,clothing,1F452
3322,🎩,top hat,Objects,clothing,1F3A9
3323,🎓,graduation cap,Objects,clothing,1F393
3324,🧢,billed cap,Objects,clothing,1F9E2
3325,🪖,military helmet,Objects,clothing,1FA96
3326,⛑️,rescue worker’s helmet,Objects,clothing,26D1 FE0F
3327,⛑,rescue worker’s helmet,Objects,clothing,26D1
3328,📿,prayer beads,Objects,clothing,1F4FF
3329,💄,lipstick,Objects,clothing,1F484
3330,💍,ring,Objects,clothing,1F48D
3331,💎,gem stone,Objects,clothing,1F48E
3332,🔇,muted speaker,Objects,sound,1F507
3333,🔈,speaker low volume,Objects,sound,1F508
3334,🔉,speaker medium volume,Objects,sound,1F509
3335,🔊,speaker high volume,Objects,sound,1F50A
3336,📢,loudspeaker,Objects,sound,1F4E2
3337,📣,megaphone,Objects,sound,1F4E3
3338,📯,postal horn,Objects,sound,1F4EF
3339,🔔,bell,Objects,sound,1F514
3340,🔕,bell with slash,Objects,sound,1F515
3341,🎼,musical score,Objects,music,1F3BC
3342,🎵,musical note,Objects,music,1F3B5
3343,🎶,musical notes,Objects,music,1F3B6
3344,🎙️,studio microphone,Objects,music,1F399 FE0F
3345,🎙,studio microphone,Objects,music,1F399
3346,🎚️,level slider,Objects,music,1F39A FE0F
3347,🎚,level slider,Objects,music,1F39A
3348,🎛️,control knobs,Objects,music,1F39B FE0F
3349,🎛,control knobs,Objects,music,1F39B
3350,🎤,microphone,Objects,music,1F3A4
3351,🎧,headphone,Objects,music,1F3A7
3352,📻,radio,Objects,music,1F4FB
3353,🎷,saxophone,Objects,musical-instrument,1F3B7
3354,🪗,accordion,Objects,musical-instrument,1FA97
3355,🎸,guitar,Objects,musical-instrument,1F3B8
3356,🎹,musical keyboard,Objects,musical-instrument,1F3B9
3357,🎺,trumpet,Objects,musical-instrument,1F3BA
3358,🎻,violin,Objects,musical-instrument,1F3BB
3359,🪕,banjo,Objects,musical-instrument,1FA95
3360,🥁,drum,Objects,musical-instrument,1F941
3361,🪘,long drum,Objects,musical-instrument,1FA98
3362,📱,mobile phone,Objects,phone,1F4F1
3363,📲,mobile phone with arrow,Objects,phone,1F4F2
3364,☎️,telephone,Objects,phone,260E FE0F
3365,☎,telephone,Objects,phone,260E
3366,📞,telephone receiver,Objects,phone,1F4DE
3367,📟,pager,Objects,phone,1F4DF
3368,📠,fax machine,Objects,phone,1F4E0
3369,🔋,battery,Objects,computer,1F50B
3370,🔌,electric plug,Objects,computer,1F50C
3371,💻,laptop,Objects,computer,1F4BB
3372,🖥️,desktop computer,Objects,computer,1F5A5 FE0F
3373,🖥,desktop computer,Objects,computer,1F5A5
3374,🖨️,printer,Objects,computer,1F5A8 FE0F
3375,🖨,printer,Objects,computer,1F5A8
3376,⌨️,keyboard,Objects,computer,2328 FE0F
3377,⌨,keyboard,Objects,computer,2328
3378,🖱️,computer mouse,Objects,computer,1F5B1 FE0F
3379,🖱,computer mouse,Objects,computer,1F5B1
3380,🖲️,trackball,Objects,computer,1F5B2 FE0F
3381,🖲,trackball,Objects,computer,1F5B2
3382,💽,computer disk,Objects,computer,1F4BD
3383,💾,floppy disk,Objects,computer,1F4BE
3384,💿,optical disk,Objects,computer,1F4BF
3385,📀,dvd,Objects,computer,1F4C0
3386,🧮,abacus,Objects,computer,1F9EE
3387,🎥,movie camera,Objects,light & video,1F3A5
3388,🎞️,film frames,Objects,light & video,1F39E FE0F
3389,🎞,film frames,Objects,light & video,1F39E
3390,📽️,film projector,Objects,light & video,1F4FD FE0F
3391,📽,film projector,Objects,light & video,1F4FD
3392,🎬,clapper board,Objects,light & video,1F3AC
3393,📺,television,Objects,light & video,1F4FA
3394,📷,camera,Objects,light & video,1F4F7
3395,📸,camera with flash,Objects,light & video,1F4F8
3396,📹,video camera,Objects,light & video,1F4F9
3397,📼,videocassette,Objects,light & video,1F4FC
3398,🔍,magnifying glass tilted left,Objects,light & video,1F50D
3399,🔎,magnifying glass tilted right,Objects,light & video,1F50E
3400,🕯️,candle,Objects,light & video,1F56F FE0F
3401,🕯,candle,Objects,light & video,1F56F
3402,💡,light bulb,Objects,light & video,1F4A1
3403,🔦,flashlight,Objects,light & video,1F526
3404,🏮,red paper lantern,Objects,light & video,1F3EE
3405,🪔,diya lamp,Objects,light & video,1FA94
3406,📔,notebook with decorative cover,Objects,book-paper,1F4D4
3407,📕,closed book,Objects,book-paper,1F4D5
3408,📖,open book,Objects,book-paper,1F4D6
3409,📗,green book,Objects,book-paper,1F4D7
3410,📘,blue book,Objects,book-paper,1F4D8
3411,📙,orange book,Objects,book-paper,1F4D9
3412,📚,books,Objects,book-paper,1F4DA
3413,📓,notebook,Objects,book-paper,1F4D3
3414,📒,ledger,Objects,book-paper,1F4D2
3415,📃,page with curl,Objects,book-paper,1F4C3
3416,📜,scroll,Objects,book-paper,1F4DC
3417,📄,page facing up,Objects,book-paper,1F4C4
3418,📰,newspaper,Objects,book-paper,1F4F0
3419,🗞️,rolled-up newspaper,Objects,book-paper,1F5DE FE0F
3420,🗞,rolled-up newspaper,Objects,book-paper,1F5DE
3421,📑,bookmark tabs,Objects,book-paper,1F4D1
3422,🔖,bookmark,Objects,book-paper,1F516
3423,🏷️,label,Objects,book-paper,1F3F7 FE0F
3424,🏷,label,Objects,book-paper,1F3F7
3425,💰,money bag,Objects,money,1F4B0
3426,🪙,coin,Objects,money,1FA99
3427,💴,yen banknote,Objects,money,1F4B4
3428,💵,dollar banknote,Objects,money,1F4B5
3429,💶,euro banknote,Objects,money,1F4B6
3430,💷,pound banknote,Objects,money,1F4B7
3431,💸,money with wings,Objects,money,1F4B8
3432,💳,credit card,Objects,money,1F4B3
3433,🧾,receipt,Objects,money,1F9FE
3434,💹,chart increasing with yen,Objects,money,1F4B9
3435,✉️,envelope,Objects,mail,2709 FE0F
3436,✉,envelope,Objects,mail,2709
3437,📧,e-mail,Objects,mail,1F4E7
3438,📨,incoming envelope,Objects,mail,1F4E8
3439,📩,envelope with arrow,Objects,mail,1F4E9
3440,📤,outbox tray,Objects,mail,1F4E4
3441,📥,inbox tray,Objects,mail,1F4E5
3442,📦,package,Objects,mail,1F4E6
3443,📫,closed mailbox with raised flag,Objects,mail,1F4EB
3444,📪,closed mailbox with lowered flag,Objects,mail,1F4EA
3445,📬,open mailbox with raised flag,Objects,mail,1F4EC
3446,📭,open mailbox with lowered flag,Objects,mail,1F4ED
3447,📮,postbox,Objects,mail,1F4EE
3448,🗳️,ballot box with ballot,Objects,mail,1F5F3 FE0F
3449,🗳,ballot box with ballot,Objects,mail,1F5F3
3450,✏️,pencil,Objects,writing,270F FE0F
3451,✏,pencil,Objects,writing,270F
3452,✒️,black nib,Objects,writing,2712 FE0F
3453,✒,black nib,Objects,writing,2712
3454,🖋️,fountain pen,Objects,writing,1F58B FE0F
3455,🖋,fountain pen,Objects,writing,1F58B
3456,🖊️,pen,Objects,writing,1F58A FE0F
3457,🖊,pen,Objects,writing,1F58A
3458,🖌️,paintbrush,Objects,writing,1F58C FE0F
3459,🖌,paintbrush,Objects,writing,1F58C
3460,🖍️,crayon,Objects,writing,1F58D FE0F
3461,🖍,crayon,Objects,writing,1F58D
3462,📝,memo,Objects,writing,1F4DD
3463,💼,briefcase,Objects,office,1F4BC
3464,📁,file folder,Objects,office,1F4C1
3465,📂,open file folder,Objects,office,1F4C2
3466,🗂️,card index dividers,Objects,office,1F5C2 FE0F
3467,🗂,card index dividers,Objects,office,1F5C2
3468,📅,calendar,Objects,office,1F4C5
3469,📆,tear-off calendar,Objects,office,1F4C6
3470,🗒️,spiral notepad,Objects,office,1F5D2 FE0F
3471,🗒,spiral notepad,Objects,office,1F5D2
3472,🗓️,spiral calendar,Objects,office,1F5D3 FE0F
3473,🗓,spiral calendar,Objects,office,1F5D3
3474,📇,card index,Objects,office,1F4C7
3475,📈,chart increasing,Objects,office,1F4C8
3476,📉,chart decreasing,Objects,office,1F4C9
3477,📊,bar chart,Objects,office,1F4CA
3478,📋,clipboard,Objects,office,1F4CB
3479,📌,pushpin,Objects,office,1F4CC
3480,📍,round pushpin,Objects,office,1F4CD
3481,📎,paperclip,Objects,office,1F4CE
3482,🖇️,linked paperclips,Objects,office,1F587 FE0F
3483,🖇,linked paperclips,Objects,office,1F587
3484,📏,straight ruler,Objects,office,1F4CF
3485,📐,triangular ruler,Objects,office,1F4D0
3486,✂️,scissors,Objects,office,2702 FE0F
3487,✂,scissors,Objects,office,2702
3488,🗃️,card file box,Objects,office,1F5C3 FE0F
3489,🗃,card file box,Objects,office,1F5C3
3490,🗄️,file cabinet,Objects,office,1F5C4 FE0F
3491,🗄,file cabinet,Objects,office,1F5C4
3492,🗑️,wastebasket,Objects,office,1F5D1 FE0F
3493,🗑,wastebasket,Objects,office,1F5D1
3494,🔒,locked,Objects,lock,1F512
3495,🔓,unlocked,Objects,lock,1F513
3496,🔏,locked with pen,Objects,lock,1F50F
3497,🔐,locked with key,Objects,lock,1F510
3498,🔑,key,Objects,lock,1F511
3499,🗝️,old key,Objects,lock,1F5DD FE0F
3500,🗝,old key,Objects,lock,1F5DD
3501,🔨,hammer,Objects,tool,1F528
3502,🪓,axe,Objects,tool,1FA93
3503,⛏️,pick,Objects,tool,26CF FE0F
3504,⛏,pick,Objects,tool,26CF
3505,⚒️,hammer and pick,Objects,tool,2692 FE0F
3506,⚒,hammer and pick,Objects,tool,2692
3507,🛠️,hammer and wrench,Objects,tool,1F6E0 FE0F
3508,🛠,hammer and wrench,Objects,tool,1F6E0
3509,🗡️,dagger,Objects,tool,1F5E1 FE0F
3510,🗡,dagger,Objects,tool,1F5E1
3511,⚔️,crossed swords,Objects,tool,2694 FE0F
3512,⚔,crossed swords,Objects,tool,2694
3513,🔫,pistol,Objects,tool,1F52B
3514,🪃,boomerang,Objects,tool,1FA83
3515,🏹,bow and arrow,Objects,tool,1F3F9
3516,🛡️,shield,Objects,tool,1F6E1 FE0F
3517,🛡,shield,Objects,tool,1F6E1
3518,🪚,carpentry saw,Objects,tool,1FA9A
3519,🔧,wrench,Objects,tool,1F527
3520,🪛,screwdriver,Objects,tool,1FA9B
3521,🔩,nut and bolt,Objects,tool,1F529
3522,⚙️,gear,Objects,tool,2699 FE0F
3523,⚙,gear,Objects,tool,2699
3524,🗜️,clamp,Objects,tool,1F5DC FE0F
3525,🗜,clamp,Objects,tool,1F5DC
3526,⚖️,balance scale,Objects,tool,2696 FE0F
3527,⚖,balance scale,Objects,tool,2696
3528,🦯,white cane,Objects,tool,1F9AF
3529,🔗,link,Objects,tool,1F517
3530,⛓️,chains,Objects,tool,26D3 FE0F
3531,⛓,chains,Objects,tool,26D3
3532,🪝,hook,Objects,tool,1FA9D
3533,🧰,toolbox,Objects,tool,1F9F0
3534,🧲,magnet,Objects,tool,1F9F2
3535,🪜,ladder,Objects,tool,1FA9C
3536,⚗️,alembic,Objects,science,2697 FE0F
3537,⚗,alembic,Objects,science,2697
3538,🧪,test tube,Objects,science,1F9EA
3539,🧫,petri dish,Objects,science,1F9EB
3540,🧬,dna,Objects,science,1F9EC
3541,🔬,microscope,Objects,science,1F52C
3542,🔭,telescope,Objects,science,1F52D
3543,📡,satellite antenna,Objects,science,1F4E1
3544,💉,syringe,Objects,medical,1F489
3545,🩸,drop of blood,Objects,medical,1FA78
3546,💊,pill,Objects,medical,1F48A
3547,🩹,adhesive bandage,Objects,medical,1FA79
3548,🩺,stethoscope,Objects,medical,1FA7A
3549,🚪,door,Objects,household,1F6AA
3550,🛗,elevator,Objects,household,1F6D7
3551,🪞,mirror,Objects,household,1FA9E
3552,🪟,window,Objects,household,1FA9F
3553,🛏️,bed,Objects,household,1F6CF FE0F
3554,🛏,bed,Objects,household,1F6CF
3555,🛋️,couch and lamp,Objects,household,1F6CB FE0F
3556,🛋,couch and lamp,Objects,household,1F6CB
3557,🪑,chair,Objects,household,1FA91
3558,🚽,toilet,Objects,household,1F6BD
3559,🪠,plunger,Objects,household,1FAA0
3560,🚿,shower,Objects,household,1F6BF
3561,🛁,bathtub,Objects,household,1F6C1
3562,🪤,mouse trap,Objects,household,1FAA4
3563,🪒,razor,Objects,household,1FA92
3564,🧴,lotion bottle,Objects,household,1F9F4
3565,🧷,safety pin,Objects,household,1F9F7
3566,🧹,broom,Objects,household,1F9F9
3567,🧺,basket,Objects,household,1F9FA
3568,🧻,roll of paper,Objects,household,1F9FB
3569,🪣,bucket,Objects,household,1FAA3
3570,🧼,soap,Objects,household,1F9FC
3571,🪥,toothbrush,Objects,household,1FAA5
3572,🧽,sponge,Objects,household,1F9FD
3573,🧯,fire extinguisher,Objects,household,1F9EF
3574,🛒,shopping cart,Objects,household,1F6D2
3575,🚬,cigarette,Objects,other-object,1F6AC
3576,⚰️,coffin,Objects,other-object,26B0 FE0F
3577,⚰,coffin,Objects,other-object,26B0
3578,🪦,headstone,Objects,other-object,1FAA6
3579,⚱️,funeral urn,Objects,other-object,26B1 FE0F
3580,⚱,funeral urn,Objects,other-object,26B1
3581,🗿,moai,Objects,other-object,1F5FF
3582,🪧,placard,Objects,other-object,1FAA7
3583,🏧,ATM sign,Symbols,transport-sign,1F3E7
3584,🚮,litter in bin sign,Symbols,transport-sign,1F6AE
3585,🚰,potable water,Symbols,transport-sign,1F6B0
3586,♿,wheelchair symbol,Symbols,transport-sign,267F
3587,🚹,men’s room,Symbols,transport-sign,1F6B9
3588,🚺,women’s room,Symbols,transport-sign,1F6BA
3589,🚻,restroom,Symbols,transport-sign,1F6BB
3590,🚼,baby symbol,Symbols,transport-sign,1F6BC
3591,🚾,water closet,Symbols,transport-sign,1F6BE
3592,🛂,passport control,Symbols,transport-sign,1F6C2
3593,🛃,customs,Symbols,transport-sign,1F6C3
3594,🛄,baggage claim,Symbols,transport-sign,1F6C4
3595,🛅,left luggage,Symbols,transport-sign,1F6C5
3596,⚠️,warning,Symbols,warning,26A0 FE0F
3597,⚠,warning,Symbols,warning,26A0
3598,🚸,children crossing,Symbols,warning,1F6B8
3599,⛔,no entry,Symbols,warning,26D4
3600,🚫,prohibited,Symbols,warning,1F6AB
3601,🚳,no bicycles,Symbols,warning,1F6B3
3602,🚭,no smoking,Symbols,warning,1F6AD
3603,🚯,no littering,Symbols,warning,1F6AF
3604,🚱,non-potable water,Symbols,warning,1F6B1
3605,🚷,no pedestrians,Symbols,warning,1F6B7
3606,📵,no mobile phones,Symbols,warning,1F4F5
3607,🔞,no one under eighteen,Symbols,warning,1F51E
3608,☢️,radioactive,Symbols,warning,2622 FE0F
3609,☢,radioactive,Symbols,warning,2622
3610,☣️,biohazard,Symbols,warning,2623 FE0F
3611,☣,biohazard,Symbols,warning,2623
3612,⬆️,up arrow,Symbols,arrow,2B06 FE0F
3613,⬆,up arrow,Symbols,arrow,2B06
3614,↗️,up-right arrow,Symbols,arrow,2197 FE0F
3615,↗,up-right arrow,Symbols,arrow,2197
3616,➡️,right arrow,Symbols,arrow,27A1 FE0F
3617,➡,right arrow,Symbols,arrow,27A1
3618,↘️,down-right arrow,Symbols,arrow,2198 FE0F
3619,↘,down-right arrow,Symbols,arrow,2198
3620,⬇️,down arrow,Symbols,arrow,2B07 FE0F
3621,⬇,down arrow,Symbols,arrow,2B07
3622,↙️,down-left arrow,Symbols,arrow,2199 FE0F
3623,↙,down-left arrow,Symbols,arrow,2199
3624,⬅️,left arrow,Symbols,arrow,2B05 FE0F
3625,⬅,left arrow,Symbols,arrow,2B05
3626,↖️,up-left arrow,Symbols,arrow,2196 FE0F
3627,↖,up-left arrow,Symbols,arrow,2196
3628,↕️,up-down arrow,Symbols,arrow,2195 FE0F
3629,↕,up-down arrow,Symbols,arrow,2195
3630,↔️,left-right arrow,Symbols,arrow,2194 FE0F
3631,↔,left-right arrow,Symbols,arrow,2194
3632,↩️,right arrow curving left,Symbols,arrow,21A9 FE0F
3633,↩,right arrow curving left,Symbols,arrow,21A9
3634,↪️,left arrow curving right,Symbols,arrow,21AA FE0F
3635,↪,left arrow curving right,Symbols,arrow,21AA
3636,⤴️,right arrow curving up,Symbols,arrow,2934 FE0F
3637,⤴,right arrow curving up,Symbols,arrow,2934
3638,⤵️,right arrow curving down,Symbols,arrow,2935 FE0F
3639,⤵,right arrow curving down,Symbols,arrow,2935
3640,🔃,clockwise vertical arrows,Symbols,arrow,1F503
3641,🔄,counterclockwise arrows button,Symbols,arrow,1F504
3642,🔙,BACK arrow,Symbols,arrow,1F519
3643,🔚,END arrow,Symbols,arrow,1F51A
3644,🔛,ON! arrow,Symbols,arrow,1F51B
3645,🔜,SOON arrow,Symbols,arrow,1F51C
3646,🔝,TOP arrow,Symbols,arrow,1F51D
3647,🛐,place of worship,Symbols,religion,1F6D0
3648,⚛️,atom symbol,Symbols,religion,269B FE0F
3649,⚛,atom symbol,Symbols,religion,269B
3650,🕉️,om,Symbols,religion,1F549 FE0F
3651,🕉,om,Symbols,religion,1F549
3652,✡️,star of David,Symbols,religion,2721 FE0F
3653,✡,star of David,Symbols,religion,2721
3654,☸️,wheel of dharma,Symbols,religion,2638 FE0F
3655,☸,wheel of dharma,Symbols,religion,2638
3656,☯️,yin yang,Symbols,religion,262F FE0F
3657,☯,yin yang,Symbols,religion,262F
3658,✝️,latin cross,Symbols,religion,271D FE0F
3659,✝,latin cross,Symbols,religion,271D
3660,☦️,orthodox cross,Symbols,religion,2626 FE0F
3661,☦,orthodox cross,Symbols,religion,2626
3662,☪️,star and crescent,Symbols,religion,262A FE0F
3663,☪,star and crescent,Symbols,religion,262A
3664,☮️,peace symbol,Symbols,religion,262E FE0F
3665,☮,peace symbol,Symbols,religion,262E
3666,🕎,menorah,Symbols,religion,1F54E
3667,🔯,dotted six-pointed star,Symbols,religion,1F52F
3668,♈,Aries,Symbols,zodiac,2648
3669,♉,Taurus,Symbols,zodiac,2649
3670,♊,Gemini,Symbols,zodiac,264A
3671,♋,Cancer,Symbols,zodiac,264B
3672,♌,Leo,Symbols,zodiac,264C
3673,♍,Virgo,Symbols,zodiac,264D
3674,♎,Libra,Symbols,zodiac,264E
3675,♏,Scorpio,Symbols,zodiac,264F
3676,♐,Sagittarius,Symbols,zodiac,2650
3677,♑,Capricorn,Symbols,zodiac,2651
3678,♒,Aquarius,Symbols,zodiac,2652
3679,♓,Pisces,Symbols,zodiac,2653
3680,⛎,Ophiuchus,Symbols,zodiac,26CE
3681,🔀,shuffle tracks button,Symbols,av-symbol,1F500
3682,🔁,repeat button,Symbols,av-symbol,1F501
3683,🔂,repeat single button,Symbols,av-symbol,1F502
3684,▶️,play button,Symbols,av-symbol,25B6 FE0F
3685,▶,play button,Symbols,av-symbol,25B6
3686,⏩,fast-forward button,Symbols,av-symbol,23E9
3687,⏭️,next track button,Symbols,av-symbol,23ED FE0F
3688,⏭,next track button,Symbols,av-symbol,23ED
3689,⏯️,play or pause button,Symbols,av-symbol,23EF FE0F
3690,⏯,play or pause button,Symbols,av-symbol,23EF
3691,◀️,reverse button,Symbols,av-symbol,25C0 FE0F
3692,◀,reverse button,Symbols,av-symbol,25C0
3693,⏪,fast reverse button,Symbols,av-symbol,23EA
3694,⏮️,last track button,Symbols,av-symbol,23EE FE0F
3695,⏮,last track button,Symbols,av-symbol,23EE
3696,🔼,upwards button,Symbols,av-symbol,1F53C
3697,⏫,fast up button,Symbols,av-symbol,23EB
3698,🔽,downwards button,Symbols,av-symbol,1F53D
3699,⏬,fast down button,Symbols,av-symbol,23EC
3700,⏸️,pause button,Symbols,av-symbol,23F8 FE0F
3701,⏸,pause button,Symbols,av-symbol,23F8
3702,⏹️,stop button,Symbols,av-symbol,23F9 FE0F
3703,⏹,stop button,Symbols,av-symbol,23F9
3704,⏺️,record button,Symbols,av-symbol,23FA FE0F
3705,⏺,record button,Symbols,av-symbol,23FA
3706,⏏️,eject button,Symbols,av-symbol,23CF FE0F
3707,⏏,eject button,Symbols,av-symbol,23CF
3708,🎦,cinema,Symbols,av-symbol,1F3A6
3709,🔅,dim button,Symbols,av-symbol,1F505
3710,🔆,bright button,Symbols,av-symbol,1F506
3711,📶,antenna bars,Symbols,av-symbol,1F4F6
3712,📳,vibration mode,Symbols,av-symbol,1F4F3
3713,📴,mobile phone off,Symbols,av-symbol,1F4F4
3714,♀️,female sign,Symbols,gender,2640 FE0F
3715,♀,female sign,Symbols,gender,2640
3716,♂️,male sign,Symbols,gender,2642 FE0F
3717,♂,male sign,Symbols,gender,2642
3718,⚧️,transgender symbol,Symbols,gender,26A7 FE0F
3719,⚧,transgender symbol,Symbols,gender,26A7
3720,✖️,multiply,Symbols,math,2716 FE0F
3721,✖,multiply,Symbols,math,2716
3722,➕,plus,Symbols,math,2795
3723,➖,minus,Symbols,math,2796
3724,➗,divide,Symbols,math,2797
3725,♾️,infinity,Symbols,math,267E FE0F
3726,♾,infinity,Symbols,math,267E
3727,‼️,double exclamation mark,Symbols,punctuation,203C FE0F
3728,‼,double exclamation mark,Symbols,punctuation,203C
3729,⁉️,exclamation question mark,Symbols,punctuation,2049 FE0F
3730,⁉,exclamation question mark,Symbols,punctuation,2049
3731,❓,question mark,Symbols,punctuation,2753
3732,❔,white question mark,Symbols,punctuation,2754
3733,❕,white exclamation mark,Symbols,punctuation,2755
3734,❗,exclamation mark,Symbols,punctuation,2757
3735,〰️,wavy dash,Symbols,punctuation,3030 FE0F
3736,〰,wavy dash,Symbols,punctuation,3030
3737,💱,currency exchange,Symbols,currency,1F4B1
3738,💲,heavy dollar sign,Symbols,currency,1F4B2
3739,⚕️,medical symbol,Symbols,other-symbol,2695 FE0F
3740,⚕,medical symbol,Symbols,other-symbol,2695
3741,♻️,recycling symbol,Symbols,other-symbol,267B FE0F
3742,♻,recycling symbol,Symbols,other-symbol,267B
3743,⚜️,fleur-de-lis,Symbols,other-symbol,269C FE0F
3744,⚜,fleur-de-lis,Symbols,other-symbol,269C
3745,🔱,trident emblem,Symbols,other-symbol,1F531
3746,📛,name badge,Symbols,other-symbol,1F4DB
3747,🔰,Japanese symbol for beginner,Symbols,other-symbol,1F530
3748,⭕,hollow red circle,Symbols,other-symbol,2B55
3749,✅,check mark button,Symbols,other-symbol,2705
3750,☑️,check box with check,Symbols,other-symbol,2611 FE0F
3751,☑,check box with check,Symbols,other-symbol,2611
3752,✔️,check mark,Symbols,other-symbol,2714 FE0F
3753,✔,check mark,Symbols,other-symbol,2714
3754,❌,cross mark,Symbols,other-symbol,274C
3755,❎,cross mark button,Symbols,other-symbol,274E
3756,➰,curly loop,Symbols,other-symbol,27B0
3757,➿,double curly loop,Symbols,other-symbol,27BF
3758,〽️,part alternation mark,Symbols,other-symbol,303D FE0F
3759,〽,part alternation mark,Symbols,other-symbol,303D
3760,✳️,eight-spoked asterisk,Symbols,other-symbol,2733 FE0F
3761,✳,eight-spoked asterisk,Symbols,other-symbol,2733
3762,✴️,eight-pointed star,Symbols,other-symbol,2734 FE0F
3763,✴,eight-pointed star,Symbols,other-symbol,2734
3764,❇️,sparkle,Symbols,other-symbol,2747 FE0F
3765,❇,sparkle,Symbols,other-symbol,2747
3766,©️,copyright,Symbols,other-symbol,00A9 FE0F
3767,©,copyright,Symbols,other-symbol,00A9
3768,®️,registered,Symbols,other-symbol,00AE FE0F
3769,®,registered,Symbols,other-symbol,00AE
3770,™️,trade mark,Symbols,other-symbol,2122 FE0F
3771,™,trade mark,Symbols,other-symbol,2122
3772,#️⃣,#,Symbols,keycap,0023 FE0F 20E3
3773,#⃣,#,Symbols,keycap,0023 20E3
3774,*️⃣,keycap: *,Symbols,keycap,002A FE0F 20E3
3775,*⃣,keycap: *,Symbols,keycap,002A 20E3
3776,0️⃣,keycap: 0,Symbols,keycap,0030 FE0F 20E3
3777,0⃣,keycap: 0,Symbols,keycap,0030 20E3
3778,1️⃣,keycap: 1,Symbols,keycap,0031 FE0F 20E3
3779,1⃣,keycap: 1,Symbols,keycap,0031 20E3
3780,2️⃣,keycap: 2,Symbols,keycap,0032 FE0F 20E3
3781,2⃣,keycap: 2,Symbols,keycap,0032 20E3
3782,3️⃣,keycap: 3,Symbols,keycap,0033 FE0F 20E3
3783,3⃣,keycap: 3,Symbols,keycap,0033 20E3
3784,4️⃣,keycap: 4,Symbols,keycap,0034 FE0F 20E3
3785,4⃣,keycap: 4,Symbols,keycap,0034 20E3
3786,5️⃣,keycap: 5,Symbols,keycap,0035 FE0F 20E3
3787,5⃣,keycap: 5,Symbols,keycap,0035 20E3
3788,6️⃣,keycap: 6,Symbols,keycap,0036 FE0F 20E3
3789,6⃣,keycap: 6,Symbols,keycap,0036 20E3
3790,7️⃣,keycap: 7,Symbols,keycap,0037 FE0F 20E3
3791,7⃣,keycap: 7,Symbols,keycap,0037 20E3
3792,8️⃣,keycap: 8,Symbols,keycap,0038 FE0F 20E3
3793,8⃣,keycap: 8,Symbols,keycap,0038 20E3
3794,9️⃣,keycap: 9,Symbols,keycap,0039 FE0F 20E3
3795,9⃣,keycap: 9,Symbols,keycap,0039 20E3
3796,🔟,keycap: 10,Symbols,keycap,1F51F
3797,🔠,input latin uppercase,Symbols,alphanum,1F520
3798,🔡,input latin lowercase,Symbols,alphanum,1F521
3799,🔢,input numbers,Symbols,alphanum,1F522
3800,🔣,input symbols,Symbols,alphanum,1F523
3801,🔤,input latin letters,Symbols,alphanum,1F524
3802,🅰️,A button (blood type),Symbols,alphanum,1F170 FE0F
3803,🅰,A button (blood type),Symbols,alphanum,1F170
3804,🆎,AB button (blood type),Symbols,alphanum,1F18E
3805,🅱️,B button (blood type),Symbols,alphanum,1F171 FE0F
3806,🅱,B button (blood type),Symbols,alphanum,1F171
3807,🆑,CL button,Symbols,alphanum,1F191
3808,🆒,COOL button,Symbols,alphanum,1F192
3809,🆓,FREE button,Symbols,alphanum,1F193
3810,ℹ️,information,Symbols,alphanum,2139 FE0F
3811,ℹ,information,Symbols,alphanum,2139
3812,🆔,ID button,Symbols,alphanum,1F194
3813,Ⓜ️,circled M,Symbols,alphanum,24C2 FE0F
3814,Ⓜ,circled M,Symbols,alphanum,24C2
3815,🆕,NEW button,Symbols,alphanum,1F195
3816,🆖,NG button,Symbols,alphanum,1F196
3817,🅾️,O button (blood type),Symbols,alphanum,1F17E FE0F
3818,🅾,O button (blood type),Symbols,alphanum,1F17E
3819,🆗,OK button,Symbols,alphanum,1F197
3820,🅿️,P button,Symbols,alphanum,1F17F FE0F
3821,🅿,P button,Symbols,alphanum,1F17F
3822,🆘,SOS button,Symbols,alphanum,1F198
3823,🆙,UP! button,Symbols,alphanum,1F199
3824,🆚,VS button,Symbols,alphanum,1F19A
